PIN2,HOUSE_UNIT,PROPERTY_TYPE
10253080230000,1,1
10253080240000,1,1
10253080250000,1,1
10253080260000,1,1
10253080270000,1,1
10253080280000,1,1
10253080290000,1,1
10253080300000,1,1
10253080310000,1,1
10253080320000,1,1
10253080390000,1,1
10253080400000,1,1
10253080410000,1,1
10253080420000,1,1
10253080430000,1,1
10253080440000,1,1
10253080450000,1,1
10253080460000,1,1
10253080470000,1,1
10253080480000,1,1
10253090010000,1,1
10253090020000,1,1
10253090030000,1,1
10253090040000,1,1
10253090050000,1,1
10253090060000,1,1
10253090070000,1,1
10253090080000,1,1
10253090110000,1,1
10253090120000,1,1
10253090130000,1,1
10253090140000,1,1
10253090150000,1,1
10253090160000,1,1
10253090170000,1,1
10253090180000,1,1
10253090190000,1,1
10253090200000,1,1
10253090210000,1,1
10253090220000,1,1
10253090230000,1,1
10253090240000,1,1
10253090250000,1,1
10253090260000,1,1
10253090270000,1,1
10253090280000,1,1
10253090290000,1,1
10253090330000,1,1
10253090340000,1,1
10253090350000,1,1
10253090360000,1,1
10253090370000,1,1
10253090380000,1,1
10253090390000,1,1
10253090400000,0,5
10253090410000,1,1
10253090420000,1,1
10253100010000,1,1
10253100020000,1,1
10253100030000,1,1
10253100040000,1,1
10253100100000,1,1
10253100110000,1,1
10253100120000,1,1
10253100130000,1,1
10253100140000,1,1
10253100150000,1,1
10253100180000,1,1
10253100190000,1,1
10253100200000,1,1
10253100210000,1,1
10253100220000,1,1
10253100230000,1,1
10253100270000,1,1
10253100280000,1,1
10253100290000,1,1
10253100300000,1,1
10253100310000,1,1
10253100320000,1,1
10253100330000,1,1
10253100340000,1,1
10253100370000,1,1
10253100380000,1,1
10253100390000,1,1
10253100400000,1,1
10253100410000,1,1
10253100420000,1,1
10253100430000,1,1
10253100440000,1,1
10253100450000,1,1
10253110010000,1,1
10253110020000,1,1
10253110030000,1,1
10253110040000,1,1
10253110050000,1,1
10253110060000,1,1
10253110070000,1,1
10253110110000,1,1
10253110120000,1,1
10253110130000,1,1
10253110140000,1,1
10253110150000,1,1
10253110170000,1,1
10253110190000,1,1
10253110200000,1,1
10253110210000,1,1
10253110220000,1,1
10253110230000,1,1
10253110240000,1,1
10253110250000,1,1
10253110260000,1,1
10253110270000,1,1
10253110280000,1,1
10253110320000,1,1
10253110370000,1,1
10253110380000,1,1
10253110390000,1,1
10253110400000,1,1
10253110410000,0,5
10253110420000,1,1
10253110430000,1,1
10253110440000,0,5
10253110450000,1,1
10253110460000,1,1
10253110470000,1,1
10253110480000,1,1
10253110490000,1,1
10253120110000,1,1
10253120120000,1,1
10253120130000,1,1
10253120140000,1,1
10253120150000,1,1
10253120160000,1,1
10253120170000,1,1
10253120180000,1,1
10253120190000,1,1
10253120200000,1,1
10253120210000,1,1
10253120220000,1,1
10253120230000,1,1
10253120240000,1,1
10253120250000,1,1
10253120260000,1,1
10253120270000,1,1
10253120280000,1,1
10253120290000,1,1
10253120390000,1,1
10253120400000,1,1
10253120410000,1,1
10253120420000,1,1
10253120430000,1,1
10253120440000,1,1
10253120450000,1,1
10253120460000,1,1
10253120470000,1,1
10253120480000,1,1
10253130010000,1,1
10253130020000,1,1
10253130030000,1,1
10253130040000,1,1
10253130050000,1,1
10253130060000,1,1
10253130070000,1,1
10253130080000,1,1
10253130090000,1,1
10253130100000,1,1
10253130110000,1,1
10253130120000,1,1
10253130130000,1,1
10253130140000,1,1
10253130150000,1,1
10253130160000,1,1
10253130170000,1,1
10253130200000,1,1
10253130210000,1,1
10253130220000,1,1
10253130270000,1,1
10253130280000,1,1
10253130330000,1,1
10253130340000,1,1
10253130350000,1,1
10253130430000,1,1
10253130440000,1,1
10253130450000,1,1
10253130470000,1,1
10253130480000,1,1
10253130490000,1,1
10253130500000,1,1
10253130510000,1,1
10253130520000,1,1
10253130530000,1,1
10253140010000,1,1
10253140020000,1,1
10253140030000,1,1
10253140040000,1,1
10253140050000,1,1
10253140060000,1,1
